AS_REGION_ID,PNODE_ID,DESCRIPTION,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
AS_NP26,0096WD_7_N001,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,0096WD_7_N002,AS_NP26,,2015-01-15T08:00:00-00:00,2031-01-01T07:59:59-00:00,2015-01-15T00:00:00,2030-12-31T23:59:59
AS_NP26,1501WDC2_7_ND001,AS_NP26,,2020-01-17T08:00:00-00:00,2031-01-01T07:59:59-00:00,2020-01-17T00:00:00,2030-12-31T23:59:59
AS_NP26,2C559EQ2_7_N001,AS_NP26,,2014-08-28T07:00:00-00:00,2031-01-01T07:59:59-00:00,2014-08-28T00:00:00,2030-12-31T23:59:59
AS_NP26,2C559_1_B1,AS_NP26,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP26,2C577C1_7_N001,AS_NP26,,2014-11-13T08:00:00-00:00,2031-01-01T07:59:59-00:00,2014-11-13T00:00:00,2030-12-31T23:59:59
AS_NP26,3EMIDIO_6_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,3EMIDIO_6_N002,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,3EMIDIO_6_N003,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,4C687C2_7_N001,AS_NP26,,2014-08-28T07:00:00-00:00,2031-01-01T07:59:59-00:00,2014-08-28T00:00:00,2030-12-31T23:59:59
AS_NP26,4C687_1_B1,AS_NP26,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP26,4C744C12_7_N001,AS_NP26,,2015-01-15T08:00:00-00:00,2031-01-01T07:59:59-00:00,2015-01-15T00:00:00,2030-12-31T23:59:59
AS_NP26,4C744C12_7_N002,AS_NP26,,2015-01-15T08:00:00-00:00,2031-01-01T07:59:59-00:00,2015-01-15T00:00:00,2030-12-31T23:59:59
AS_NP26,4C744C22_7_N001,AS_NP26,,2015-01-15T08:00:00-00:00,2031-01-01T07:59:59-00:00,2015-01-15T00:00:00,2030-12-31T23:59:59
AS_NP26,4C744C32_7_N001,AS_NP26,,2015-01-15T08:00:00-00:00,2031-01-01T07:59:59-00:00,2015-01-15T00:00:00,2030-12-31T23:59:59
AS_NP26,4C744C32_7_N002,AS_NP26,,2015-01-15T08:00:00-00:00,2031-01-01T07:59:59-00:00,2015-01-15T00:00:00,2030-12-31T23:59:59
AS_NP26,4C744C42_7_N001,AS_NP26,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP26,A100US_1_B1,AS_NP26,,2013-02-28T08:00:00-00:00,2031-01-01T07:59:59-00:00,2013-02-28T00:00:00,2030-12-31T23:59:59
AS_NP26,ADCC_2_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,ADERAG1_7_N001,AS_NP26,,2015-10-22T07:00:00-00:00,2031-01-01T07:59:59-00:00,2015-10-22T00:00:00,2030-12-31T23:59:59
AS_NP26,ADRATAP_1_B1,AS_NP26,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP26,AEC300_1_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,AERA12_7_N001,AS_NP26,,2016-02-11T08:00:00-00:00,2031-01-01T07:59:59-00:00,2016-02-11T00:00:00,2030-12-31T23:59:59
AS_NP26,AERAVIC2_1_N003,AS_NP26,,2020-01-17T08:00:00-00:00,2031-01-01T07:59:59-00:00,2020-01-17T00:00:00,2030-12-31T23:59:59
AS_NP26,AGNEW_1_N003,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,AGNEW_6_N001,AS_NP26,,2017-02-16T08:00:00-00:00,2031-01-01T07:59:59-00:00,2017-02-16T00:00:00,2030-12-31T23:59:59
AS_NP26,AGNEW_6_N002,AS_NP26,,2017-02-16T08:00:00-00:00,2031-01-01T07:59:59-00:00,2017-02-16T00:00:00,2030-12-31T23:59:59
AS_NP26,AGRCJCT_6_B1,AS_NP26,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
