X,Y,OBJECTID,Substation_ID,Substation_Name,Alias,Status,Owner,Map_Owner,Map_Part,Engineering_ID,kV_12_TO_32,kV_33_TO_92,kV_110_TO_161,kV_220_To_287,kV_345_To_500,kV_500_DC,Highest_kV,Postal_City,County,Zip_Code,State,Comments
-122.242903001182,37.7724307588544,"1",SS0003,Jenney, ,Operational,Other,Other,M, ,YES,,YES,,,,110kV to 161kV,Alameda,Alameda,"94501",CA, 
-122.657355225311,38.2650077380647,"2",SS0004,Corona, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,Petaluma,Sonoma,"94954",CA, 
-121.625938248142,37.7784766074979,"3",SS0005,South Bay 1, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Byron,Alameda,"94514",CA, 
-121.677195240697,37.7483715062963,"4",SS0007,Altamont, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Livermore,Alameda,"94551",CA, 
-122.061264238131,37.6912760210555,"5",SS0008,Castro Valley, ,Operational,PG&E,PG&E,M, ,,,,YES,,,220kV to 287kV,Castro Valley,Alameda,"94546",CA, 
-122.228571881395,37.8473684915069,"6",SS0009,Claremont K,STA. K,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Oakland,Alameda,"94618",CA, 
-122.017422156327,37.5957769759413,"7",SS0010,Cryogenics, ,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Union City,Alameda,"94587",CA, 
-123.509173123733,40.0940256975114,"8",SS0011,Kekawaka, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Zenia,Trinity,"95595",CA, 
-122.057926880894,37.556987066322,"9",SS0012,Dumbarton, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Fremont,Alameda,"94555",CA, 
-122.116598061882,37.6250736343111,"10",SS0013,Eastshore, ,Operational,PG&E,PG&E,M, ,,,YES,YES,,,220kV to 287kV,Hayward,Alameda,"94545",CA, 
-122.193785888181,37.7386845855824,"11",SS0014,Edes, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Oakland,Alameda,"94603",CA, 
-121.961944301578,37.5413581559746,"12",SS0015,Fremont, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Fremont,Alameda,"94538",CA, 
-121.939415433221,37.4936863631342,"13",SS0016,Nummi,GENERAL MOTORS,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Fremont,Alameda,"94538",CA, 
-122.159525510206,37.6712630851151,"14",SS0017,Grant, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Lorenzo,Alameda,"94580",CA, 
-122.245750820611,37.8761690361506,"15",SS0018,Grizzly,U.C. BERKELEY,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Berkeley,Alameda,"94720",CA, 
-121.831863696165,37.6679411056819,"16",SS0019,Iuka, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Pleasanton,Alameda,"94566",CA, 
-122.017478315242,37.5953055996597,"17",SS0020,Jarvis, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Union City,Alameda,"94587",CA, 
-121.906991338957,37.7085287823815,"18",SS0021,Kaiser, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Dublin,Alameda,"94568",CA, 
-121.733231365828,37.700819244794,"19",SS0022,Las Positas, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,Livermore,Alameda,"94551",CA, 
-121.780491722406,37.6800228251616,"20",SS0023,Livermore, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Livermore,Alameda,"94551",CA, 
-122.101834959529,37.6320551548941,"21",SS0024,Mt. Eden, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,Hayward,Alameda,"94545",CA, 
