Year,ARBID,FACID,Facility,Primary Sector,NAICS Code,NAICS Description,Address,City,State,Zip Code,Latitude,Longitude,Tract,County,District,Basin,Cap-and-Trade,Total GHG,Non-Biomass GHG,Biomass CO2,CO2,CH4,N2O,Covered GHG,VOC,NOx,SOx,PM10,PM2.5,Benzene,13-Butadiene,Chromium Hexavalent,Diesel PM,Formaldehyde,Hydrochloric Acid,Hydrogen Sulfide,Nickel,Acute ToxicityWtd_Lbs,Chronic ToxicityWtd_Lbs,Cancer ToxicityWtd_Lbs
2023,100130,193,"Sacramento Municipal Utility District (SMUD) , Carson Power Plant",Cogeneration,221112,Fossil Fuel Electric Power Generation,"8580 Laguna Station Road, Elk Grove, CA 95758",Elk Grove,California,95758,38.443,-121.464,CA06067009618,Sacramento,Sacramento Metropolitan AQMD,Sacramento Valley,Yes,"84,543","77,331","7,211","84,440",1.73,0.2,"77,331",0.5,5.5,0.5,1.9,1.8,190,0.184,,7.19,631,,165,,17.629,8.197,340.026
2023,100180,8469,"Goal Line LP, 92025",Cogeneration,221112,Fossil Fuel Electric Power Generation,"555 North Tulip Street, Escondido, CA 92025",Escondido,California,92025,33.119,-117.099,CA06073020307,San Diego,San Diego County APCD,San Diego,No,"6,432","6,432",0,"6,426",0.12,0.01,0,0.1,1,0,1.3,1.3,1.44,0.047,,,85.4,,,,0.38,0.289,6.737
2023,100236,47781,OLS Energy Chino,Cogeneration,221112,Fossil Fuel Electric Power Generation,"5601 Eucalyptus Ave., Chino, CA 91710",Chino,California,91710,33.99,-117.681,CA06071012200,San Bernardino,South Coast AQMD,South Coast,No,"12,370","12,370",0,"12,357",0.23,0.02,0,1.1,1.4,0.1,1.2,1,1.97,0.06,0,3.67,22.9,0.02,,0,0.199,0.193,11.142
2023,100252,195,"Sacramento Municipal Utility District (SMUD) , Procter & Gamble Power Plant",Cogeneration,221112,Fossil Fuel Electric Power Generation,"5000 83rd Street, Sacramento, CA 95826",Sacramento,California,95826,38.53,-121.399,CA06067005205,Sacramento,Sacramento Metropolitan AQMD,Sacramento Valley,Yes,"316,920","316,920",0,"316,598",5.88,0.59,"316,920",1,20.8,1.8,6.4,6.4,5.99,0.372,,,103,,,0.014,3.639,5.361,10.05
2023,100263,3011,SRI International Cogen Project,Cogeneration,221112,Fossil Fuel Electric Power Generation,"333 Ravenswood Avenue, Building U, Menlo Park, CA 94025",Menlo Park,California,94025,37.458,-122.176,CA06081612500,San Mateo,Bay Area AQMD,San Francisco Bay Area,No,"22,625","22,625",0,"22,602",0.43,0.04,0,8.1,18.3,0.1,2.8,2.8,36.1,0.024,0.007,0.116,"2,717",,,0.089,9.476,6.447,148.086
2023,100296,1251,McKittrick Limited,Cogeneration,221112,Fossil Fuel Electric Power Generation,"4905 Reward Road, McKittrick, CA 93251",McKittrick,California,93251,35.319,-119.662,CA06029003304,Kern,San Joaquin Valley APCD,San Joaquin Valley,No,"19,132","19,132",0,"19,113",0.36,0.04,0,0.1,2.3,0,0.3,0.3,0.301,0.142,,,6.61,,,,0.325,0.368,1.422
2023,100322,13001,Yuba City Cogeneration Partners LP,Cogeneration,221112,Fossil Fuel Electric Power Generation,"873 N. Walton Ave., Yuba City, CA 95993",Yuba City,California,95993,39.14,-121.643,CA06101050501,Sutter,Feather River AQMD,Sacramento Valley,Yes,"9,539","9,539",0,"9,529",0.18,0.02,"9,539",0.6,6.6,0,0.6,0.6,2.02,,,,16.8,,,,0.178,0.126,1.751
2023,100338,11866,"Calpine - Los Medanos Energy Center, LLC",Cogeneration,221112,Fossil Fuel Electric Power Generation,"750 E. 3rd St, Pittsburg, CA 94565",Pittsburg,California,94565,38.029,-121.873,CA06013309000,Contra Costa,Bay Area AQMD,San Francisco Bay Area,Yes,"1,208,819","1,208,819",0,"1,207,571",22.78,2.28,"1,208,819",24.4,86,6.5,20.8,20.7,36.9,1.31,0.397,0.952,"9,708",,,4.3,72.088,75.192,"1,187.25"
2023,100886,511,Sycamore Cogeneration Facility,Cogeneration,221112,Fossil Fuel Electric Power Generation,"SW China Grade Loop, Bakersfield, CA 93308",Bakersfield,California,93308,35.455,-119.002,CA06029005103,Kern,San Joaquin Valley APCD,San Joaquin Valley,Yes,"374,323","374,323",0,"373,938",7.02,0.7,"374,323",0,39.6,0.4,11,11,73.3,2.63,,,"4,338",,,,16.775,10.791,235.81
2023,101263,8664,"Crockett Cogeneration Project, LP",Cogeneration,221112,Fossil Fuel Electric Power Generation,"550 Loring Avenue, Crockett, CA 94525",Crockett,California,94525,38.057,-122.214,CA06013357000,Contra Costa,Bay Area AQMD,San Francisco Bay Area,Yes,"694,734","694,734",0,"694,017",13.09,1.31,"694,734",13.1,90.7,5,11.3,11.3,32.3,0.336,0.204,,360,,,3.31,17.728,28.652,398.706
2023,101438,,"Silicon Valley Power (SVP), City of Santa Clara , Cogen",Cogeneration,221112,Fossil Fuel Electric Power Generation,"524 Robert Avenue, Santa Clara, CA 95050",Santa Clara,California,95050,37.365,-121.944,CA06085505202,Santa Clara,Bay Area AQMD,San Francisco Bay Area,Yes,"15,006","15,006",0,"14,991",0.28,0.03,"15,006",0,0,0,0,0,0,,,,0,,,,0,0,0
2023,101514,88,Kern River Cogeneration Facility,Cogeneration,221112,Fossil Fuel Electric Power Generation,"SW China Grade Loop, Bakersfield, CA 93308",Bakersfield,California,93308,35.452,-118.984,CA06029005103,Kern,San Joaquin Valley APCD,San Joaquin Valley,Yes,"128,288","128,288",0,"128,156",2.41,0.24,"128,288",0,15,0.2,4.5,4.5,8.17,,,,303,,,,7.262,5.112,21.719
2023,101518,1222,Salinas River Cogeneration Facility,Cogeneration,221112,Fossil Fuel Electric Power Generation,"Star Route 42, Sargents Canyon Road, San Ardo, CA 93450",San Ardo,California,93450,35.953,-120.868,CA06053011400,Monterey,Monterey Bay ARD,North Central Coast,Yes,"154,020","154,020",0,"153,863",2.85,0.29,"154,020",1.3,20.8,0.1,5.4,5.4,,,,,,,,,,,
2023,101685,6534,Pixley Cogeneration Partners / Calgren Renewable Fuels,Cogeneration,221112,Fossil Fuel Electric Power Generation,"11518 Road 120, Pixley, CA 93256",Pixley,California,93256,35.995,-119.302,CA06107004200,Tulare,San Joaquin Valley APCD,San Joaquin Valley,Yes,"127,373","12,389","114,984","127,294",1.35,0.15,"12,389",1.5,4.8,2,8.1,8.1,1,0.474,,,22,,,,1.172,1.378,5.179
2023,104009,11,High Sierra Cogeneration,Cogeneration,221112,Fossil Fuel Electric Power Generation,"711-045 Center Rd., Susanville, CA 96130",Susanville,California,96130,40.404,-120.482,CA06035040400,Lassen,Lassen County APCD,Northeast Plateau,No,"18,732","18,732",0,"18,712",0.35,0.04,0,0.8,27,18,8.7,7.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:  Greenhouse Gases - metric tons (1000 kg); Criteria Pollutants - tons (2000 lbs); Toxic Pollutants - pounds (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
