Resource ID,Local Area,Matched Zone,Generator Name,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Dispatchable,Path Designation,Deliverability Status,Deliverability MW,Internal Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7STDRD_1_SOLAR1,Kern,ZP26,Shafter Solar,0.1,0.1,0.1,0.27,1.41,11.34,14.59,5.34,9.5,0.1,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIA_6_SOLAR,Big Creek-Ventura,SP15,West Antelope Solar,0.1,0.1,0.1,0.1,0.3,5.06,9.93,2.45,5.35,0.1,0.1,0.1,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADERA_1_SOLAR1,Fresno,NP15,Adera Solar,0,0,0,0,0,0,0,0,0,0,0,0,N,North,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLIN_1_UNITS,NCNB,NP15,GEYSERS AIDLIN AGGREGATE,22,22,22,22,22,22,22,22,22,22,22,22,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMEST_6_SOLAR,Fresno,NP15,Adams East,0.1,0.1,0.1,0.25,1,7.28,11.38,3.82,7.61,0.12,0.1,0.1,N,North,ID,100%,Q632 - 23TPD - Waiting for Manning and many other projects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBEE_1_SOLAR,CAISO System,ZP26,Adobe Solar,0.1,0.1,0.1,0.27,1.41,11.34,14.59,5.34,9.5,0.1,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICO_6_PL3N5,Fresno,NP15,Fresno Peaker,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICO_7_UNIT,Fresno,NP15,Fresno Cogen,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,Y,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGUCAL_5_SOLAR1,CAISO System,SP15,Agua Caliente Solar,0,0,0,0,0,0,0,0,0,0,0,0,N,South,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKINGS_6_AMESR1,Fresno,NP15,American Kings Solar,0.1,0.1,0.1,1.68,8.65,69.75,89.75,32.87,58.44,0.46,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMIT_2_AESBT2,LA Basin,SP15,Alamitos Energy Storage 2,82,82,82,82,82,82,82,82,82,82,82,82,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
