CAISO Hourly Day-Ahead Locational Marginal Prices ($/megawatt) for Zones
Hourly day-ahead locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2020-01-01 09:00:00,2020-01-01 00:00:00,2020-01-01 01:00:00,2020-01-01,1,32.76137,32.43968,32.43298,0.0,0.0,0.0,33.50861,33.50861,33.50861,-0.74724,-1.06892,-1.07563
2020-01-01 10:00:00,2020-01-01 01:00:00,2020-01-01 02:00:00,2020-01-01,2,30.90384,30.15999,30.2225,0.0,0.0,0.0,31.25388,31.25388,31.25388,-0.35004,-1.09389,-1.03138
2020-01-01 11:00:00,2020-01-01 02:00:00,2020-01-01 03:00:00,2020-01-01,3,32.15974,31.27101,31.38129,0.0,0.0,0.0,32.43544,32.43544,32.43544,-0.2757,-1.16443,-1.05415
2020-01-01 12:00:00,2020-01-01 03:00:00,2020-01-01 04:00:00,2020-01-01,4,31.24182,30.27013,30.38648,0.0,0.0,0.0,31.44622,31.44622,31.44622,-0.2044,-1.17609,-1.05974
2020-01-01 13:00:00,2020-01-01 04:00:00,2020-01-01 05:00:00,2020-01-01,5,30.98365,29.71527,29.91375,0.0,0.0,0.0,31.01156,31.01156,31.01156,-0.02791,-1.29628,-1.09781
2020-01-01 14:00:00,2020-01-01 05:00:00,2020-01-01 06:00:00,2020-01-01,6,33.17688,31.69704,31.96248,0.0,0.0,0.0,33.18019,33.18019,33.18019,-0.00332,-1.48315,-1.21771
2020-01-01 15:00:00,2020-01-01 06:00:00,2020-01-01 07:00:00,2020-01-01,7,33.87663,32.55,32.74049,0.0,0.0,0.0,34.01609,34.01609,34.01609,-0.13947,-1.46609,-1.2756
2020-01-01 16:00:00,2020-01-01 07:00:00,2020-01-01 08:00:00,2020-01-01,8,32.69939,31.12721,31.29682,0.0,0.0,0.0,32.61785,32.61785,32.61785,0.08154,-1.49064,-1.32102
2020-01-01 17:00:00,2020-01-01 08:00:00,2020-01-01 09:00:00,2020-01-01,9,29.30171,27.90528,27.8324,0.0,0.0,0.0,29.15303,29.15303,29.15303,0.14868,-1.24775,-1.32063
2020-01-01 18:00:00,2020-01-01 09:00:00,2020-01-01 10:00:00,2020-01-01,10,23.5011,21.88321,21.92481,0.0,0.0,0.0,23.11281,23.11281,23.11281,0.3883,-1.2296,-1.188
2020-01-01 19:00:00,2020-01-01 10:00:00,2020-01-01 11:00:00,2020-01-01,11,20.79992,19.15,19.25986,0.0,0.0,0.0,20.3442,20.3442,20.3442,0.45571,-1.1942,-1.08435
2020-01-01 20:00:00,2020-01-01 11:00:00,2020-01-01 12:00:00,2020-01-01,12,19.3375,17.71566,17.85915,0.0,0.0,0.0,18.88059,18.88059,18.88059,0.45691,-1.16493,-1.02144
2020-01-01 21:00:00,2020-01-01 12:00:00,2020-01-01 13:00:00,2020-01-01,13,16.50975,15.05778,15.22,0.0,0.0,0.0,16.06163,16.06163,16.06163,0.44812,-1.00385,-0.84163
